         4161579 function calls (4142587 primitive calls) in 1.701 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.001    0.001    1.701    1.701 /Users/tbarrett/dev/spreadsheet/speedTest.py:59(test_workbook_speed_ref_col1)
      402    0.005    0.000    1.699    0.004 /Users/tbarrett/dev/spreadsheet/sheets/workbook.py:500(set_cell_contents)
      402    0.001    0.000    0.887    0.002 /Users/tbarrett/dev/spreadsheet/sheets/spreadsheet.py:56(set_cell_contents)
      402    0.001    0.000    0.882    0.002 /Users/tbarrett/dev/spreadsheet/sheets/cell.py:21(__init__)
      402    0.001    0.000    0.867    0.002 /Users/tbarrett/dev/spreadsheet/sheets/cell.py:44(__set_contents)
      400    0.001    0.000    0.866    0.002 /Users/tbarrett/dev/spreadsheet/sheets/formula.py:20(formula_parse)
      402    0.003    0.000    0.818    0.002 /usr/local/lib/python3.9/site-packages/lark/parser_frontends.py:95(parse)
      400    0.001    0.000    0.808    0.002 /usr/local/lib/python3.9/site-packages/lark/lark.py:599(parse)
      400    0.005    0.000    0.804    0.002 /usr/local/lib/python3.9/site-packages/lark/parsers/earley.py:249(parse)
      403    0.002    0.000    0.644    0.002 /Users/tbarrett/dev/spreadsheet/sheets/workbook.py:37(__exit__)
      400    0.007    0.000    0.517    0.001 /usr/local/lib/python3.9/site-packages/lark/parsers/xearley.py:33(_parse)
     2620    0.133    0.000    0.452    0.000 /usr/local/lib/python3.9/site-packages/lark/parsers/earley.py:65(predict_and_complete)
      403    0.003    0.000    0.432    0.001 /Users/tbarrett/dev/spreadsheet/sheets/workbook.py:526(_recompute_all_values)
      403    0.002    0.000    0.368    0.001 /Users/tbarrett/dev/spreadsheet/sheets/workbook.py:349(build_dependency_graph)
      806    0.002    0.000    0.336    0.000 /Users/tbarrett/dev/spreadsheet/sheets/workbook.py:360(snapshot_flat)
      805    0.124    0.000    0.331    0.000 /Users/tbarrett/dev/spreadsheet/sheets/spreadsheet.py:121(snapshot)
      400    0.001    0.000    0.275    0.001 /usr/local/lib/python3.9/site-packages/lark/parsers/earley_forest.py:391(transform)
      400    0.001    0.000    0.274    0.001 /usr/local/lib/python3.9/site-packages/lark/parsers/earley_forest.py:529(visit)
      400    0.083    0.000    0.273    0.001 /usr/local/lib/python3.9/site-packages/lark/parsers/earley_forest.py:277(visit)
   243000    0.104    0.000    0.261    0.000 /Users/tbarrett/dev/spreadsheet/sheets/utils.py:147(coordinates_to_location)
      403    0.091    0.000    0.231    0.001 /Users/tbarrett/dev/spreadsheet/sheets/spreadsheet.py:47(build_dependency_graph)
      403    0.000    0.000    0.162    0.000 /Users/tbarrett/dev/spreadsheet/sheets/workbook.py:32(__enter__)
   243000    0.120    0.000    0.157    0.000 /Users/tbarrett/dev/spreadsheet/sheets/utils.py:103(number_to_column)
2416/1208    0.003    0.000    0.139    0.000 /usr/local/Cellar/python@3.9/3.9.10/Frameworks/Python.framework/Versions/3.9/lib/python3.9/typing.py:682(__call__)
2416/1208    0.004    0.000    0.138    0.000 /Users/tbarrett/dev/spreadsheet/sheets/graph.py:7(__init__)
    83600    0.070    0.000    0.113    0.000 /usr/local/lib/python3.9/site-packages/lark/parsers/earley_common.py:9(__init__)
     1208    0.042    0.000    0.089    0.000 /Users/tbarrett/dev/spreadsheet/sheets/graph.py:32(__compute_transpose)
     2416    0.068    0.000    0.084    0.000 /Users/tbarrett/dev/spreadsheet/sheets/graph.py:18(__normalize_adjacency_list)
    11200    0.017    0.000    0.075    0.000 /usr/local/lib/python3.9/site-packages/lark/parsers/earley_forest.py:431(_visit_node_out_helper)
    77984    0.036    0.000    0.071    0.000 /usr/local/lib/python3.9/site-packages/lark/grammar.py:18(__eq__)
     6000    0.017    0.000    0.068    0.000 /usr/local/lib/python3.9/site-packages/lark/parsers/earley.py:122(<listcomp>)
   267100    0.047    0.000    0.064    0.000 {method 'add' of 'set' objects}
254233/241481    0.045    0.000    0.059    0.000 {built-in method builtins.hash}
